freq,tra_type,c_unload,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,AD,GT01,THS_T,ES	: u	: 	: u	: u	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 
A,HIRE,AD,GT01,THS_T,FR	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,AD,GT01,THS_T,NL	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT03,THS_T,ES	: u	: u	224 	: u	: u	: u	: u	: 	: u	: u	166 	: u	: 	424 	: 
A,HIRE,AD,GT04,THS_T,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AD,GT04,THS_T,ES	: u	: u	: u	: u	: u	: u	49 	157 	: u	35 	55 	75 	: u	83 	: u
A,HIRE,AD,GT04,THS_T,FR	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT04,THS_T,LU	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT04,THS_T,NL	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT04,THS_T,PT	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT04,THS_T,UK	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,HIRE,AD,GT06,THS_T,ES	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u
A,HIRE,AD,GT06,THS_T,FR	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT07,THS_T,ES	: 	: 	: 	: 	: 	: u	: u	: u	: u	: 	: 	: u	: 	: 	: 
A,HIRE,AD,GT08,THS_T,ES	: u	: u	: u	: 	: 	: u	: u	: u	: 	: 	: u	: 	: u	: 	: 
A,HIRE,AD,GT08,THS_T,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AD,GT08,THS_T,NL	: 	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT09,THS_T,ES	: u	: 	: u	: u	: 	: u	: 	: u	: 	: u	: u	: u	185 	: u	: u
A,HIRE,AD,GT09,THS_T,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT10,THS_T,ES	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,HIRE,AD,GT11,THS_T,ES	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: u	: u	: 	: 	: u
A,HIRE,AD,GT11,THS_T,HU	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
