freq,tra_type,c_load,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,AD,GT01,THS_T,ES	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT03,THS_T,ES	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT04,THS_T,ES	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT06,THS_T,ES	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AD,GT09,THS_T,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	232 	: u	: u	: 	: 
A,HIRE,AD,GT10,THS_T,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT11,THS_T,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT11,THS_T,FR	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT14,THS_T,ES	: 	: 	: 	: 	: u	: u	: 	: 	: u	: 	: u	: 	: 	: 	: 
A,HIRE,AD,GT15,THS_T,ES	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AD,GT16,THS_T,ES	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,HIRE,AD,GT19,THS_T,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,AD,GT19,THS_T,HU	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AD,TOTAL,THS_T,ES	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	296 	: u	: u	: u	: 
